"pH" "Conductivity_.µS.cm." "O2_sat" "O2_conc" "Cl_.mg.L._avg" "SO4_.mg.L._avg" "NO3_.mg.L._avg" "N.NH4_.mg.L._avg" "DIN.N.mg.L." "P.PO4_.µg.L." "tree_cover_." "BARE_SOIL_._19_23" "GRASSLAND_._19_23" "SHRUBLAND_._19_23" "NAT_FOREST_._19_23" "PLANT_FOREST_._19_23" "Catchment_area_km2"
"ARTI_07" 7.037 114.7 100.1 10.14 4.79 3.44 1.96666666666667 0.00573111111111111 0.450003146489645 7.98444444444444 75.816 0 0.0107492435 0.0925898054 0.8227978595 0.0738630916 10.6783081861
"ARTI_08" 6.6 53.1 99.3 9.96 5.63 3.31333333333333 1.74333333333333 0.00486 0.398680804242327 18.56 77.74 0 0.0135353217 0.1186599769 0.8306748639 0.0371298375 6.0595144963
"ARTI_09" 5.9 71.3 98.5 9.83 5.05 2.55 1.80666666666667 0.00946777777777778 0.417595647566194 11.9044444444444 76.596 0 0.01830124 0.3694097147 0.2767529845 0.3355360607 2.8434310816
"ARTI_10" 6.6 97.5 99.5 9.94 5.79 3.46666666666667 2.68333333333333 0.0150255555555556 0.621193332639826 5.95444444444444 67.444 0.0001253159 0.0196366018 0.1361355008 0.7094698451 0.1340479645 47.088559059
"GORB_01" 7.611 75.4 99.1 9.01 2.70666666666667 3.51666666666667 0.433333333333333 0.0150344444444444 0.112924892917681 6.69666666666667 68.38 0.0020916718 0.1484607333 0.6431978608 0.1248401525 0.0813244194 7.7191169945
"GORB_02" 8.17 172.2 104 9.23 2.08333333333333 2.43333333333333 0.923333333333333 0.0179111111111111 0.226493066704084 11.4722222222222 61.256 0.0799900002 0.1649558944 0.3486507973 0.3853704063 0.0210329017 8.1801717396
"GORB_03" 7.692 53.6 99 8.68 3.10333333333333 4.05 0.216666666666667 0.0159911111111111 0.0649363353477292 11.345 84.084 0.0025101648 0.0439379524 0.3835100212 0.4724160996 0.0976257621 7.9550041393
"GORB_04" 8.17 137.4 105.1 8.67 2.67333333333333 3.24 0.836666666666667 0.0107988888888889 0.199802754787214 6.67333333333333 68.484 0.0381564517 0.1489291554 0.4759747536 0.2884186327 0.0484835957 17.5718068823
"GORB_05" 7.888 111.4 101.4 8.32 2.89333333333333 3.7 0.586666666666667 0.00874555555555556 0.141274162719322 6.60333333333333 80.86 0.0259745276 0.1117321493 0.4360170607 0.3429177057 0.0833338504 26.6076694565
"GORB_06" 7.971 113.1 100.7 8.21 2.6 3.10333333333333 0.486666666666667 0.00767 0.117608503669942 7.60777777777778 62.088 0.0237267123 0.1026054953 0.4095773926 0.3651840194 0.0988838122 29.1284202195
"GORB_07" 7.658 113.3 95.7 8.37 2.49333333333333 3.48 0.543333333333333 0.00781666666666667 0.130556228983109 3.66333333333333 44.564 0.0214482485 0.0929559983 0.3771385274 0.3509095594 0.1575272654 32.2227545104
"GORB_08" 7.556 115.7 95.2 8.2 2.75 4.26666666666667 0.53 0.0203933333333333 0.140120881850599 4.83777777777778 80.756 0.0208680164 0.0901773664 0.3694583236 0.3642046951 0.1552718247 33.2448178432
"GORB_09" 7.762 110.2 102.15 8.63 3.95333333333333 2.73666666666667 0.406666666666667 0.0161366666666667 0.10800308754155 2.42666666666667 49.816 0.0187305669 0.0810896172 0.3405199598 0.3439346035 0.2157075062 37.0427804012
"GORB_10" 7.764 122 97.9 8.29 2.67 3.95 0.466666666666667 0.0202933333333333 0.125713816304511 12.8366666666667 80.34 0.0177446646 0.0775103166 0.334885125 0.3469918453 0.2227504685 39.1706187797
"IZKI_01" 6.673 563 95.6 9.35 7.92666666666667 13.3 0.09 0.0195555555555556 0.0398866486999969 1.45222222222222 42.172 0 0.0157413467 0.0674547914 0.91620539 0.0005984719 0.5854314359
"IZKI_02" 6.574 470 96.3 9.5 5.65 10.5833333333333 0.06 0.0126911111111111 0.0262451732074054 0.595555555555556 72.696 0.0259812945 0.0602428083 0.1425535359 0.7403722125 0.0098114451 4.6277086844
"IZKI_03" 6.782 484 95 9.46 4.98333333333333 7.8 0.273333333333333 0.0134277777777778 0.075174060660896 0.982222222222222 86.996 0.0515395895 0.1107034511 0.2485434107 0.5310677563 0.0164109145 2.3328447764
"IZKI_04" 6.178 186.9 68 6.71 6.28333333333333 5.40333333333333 0.123333333333333 0.0404233333333333 0.068284460975716 1.33333333333333 83.2 0 0.0206462517 0.0351557272 0.9427499692 0.0014480519 0.966360189
"IZKI_05" 6.529 347 94.7 9.53 7.25 8.05 0.51 0.0207355555555556 0.135945083374057 1.08555555555556 80.288 0 0.0252289379 0.104937003 0.8675319888 0.0011434591 2.3122850082
"IZKI_06" 6.43 153.2 95.1 10.08 4.56666666666667 2.75666666666667 1.9 0.0483533333333333 0.477565299715985 8.68777777777778 77.948 0.0010907514 0.0116587475 0.11170583 0.6513096131 0.2005182642 3.0309091372
"IZKI_07" 6.854 338 92.3 9.19 7.17666666666667 7.22666666666667 1.69333333333333 0.0348177777777778 0.417343530273193 9.72444444444445 83.044 0.0017678362 0.0243088109 0.0884469458 0.7593242416 0.1005123542 14.6368868023
"IZKI_08" 7.925 375 93.4 9.39 5.75 6.55333333333333 1.43333333333333 0.0127122222222222 0.336503705633696 6.02555555555556 81.796 0.001284579 0.0177980246 0.0698797425 0.8100324094 0.0761516569 21.4833110972
"IZKI_09" 7.81 467 96 9.68 8.68 9.76333333333333 2.43 0.0241833333333333 0.573122848233251 2.94777777777778 75.556 0.0038817535 0.0162802353 0.1192715337 0.7047299054 0.0681031973 4.4438818689
"IZKI_10" 7.7 424 93.4 9.26 7.03333333333333 9.82 1.59666666666667 0.01369 0.374378652451386 0.874444444444444 84.292 0.0039703268 0.0273580847 0.0912746233 0.7718549605 0.0731986346 43.5981289205
